host,port,status,service_guess,timestamp
127.0.0.1,20,closed,unknown,2026-09-08T11:47:37.586729
127.0.0.1,21,closed,FTP,2026-09-08T11:47:37.586935
127.0.0.1,22,closed,SSH,2026-09-08T11:47:37.587120
127.0.0.1,23,closed,Telnet,2026-09-08T11:47:37.587293
127.0.0.1,24,closed,unknown,2026-09-08T11:47:37.587475
127.0.0.1,25,closed,SMTP,2026-09-08T11:47:37.587668
127.0.0.1,80,closed,HTTP,2026-09-08T11:47:37.587742
127.0.0.1,443,closed,HTTPS,2026-09-08T11:47:37.587862
127.0.0.1,8000,open,unknown,2026-09-08T11:47:37.588918
127.0.0.1,8080,closed,HTTP-Alt,2026-09-08T11:47:37.589151
